stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
13204,13204,MELODY @ HEMLOCK - W - MB2,,32.86423,-96.752564,,,0
13205,13205,MELODY @ HEMLOCK - W - MB3,,32.864443,-96.753645,,,0
13206,13206,MELODY @ HEMLOCK - W - MB4,,32.864784,-96.755441,,,0
13207,13207,MELODY @ HEMLOCK - W - MB5,,32.865383,-96.757103,,,0
13208,13208,MELODY @ HEMLOCK - W - MB6,,32.866203,-96.758203,,,0
13209,13209,MELODY @ HEMLOCK - W - NS,,32.868587,-96.761062,,,0
13210,13210,MELODY @ SHADYBROOK - W - MB,,32.869647,-96.762299,,,1
13216,13216,SOUTHWESTERN @ CARUTH HAVEN - S - NS,,32.860603,-96.764855,,,1
13224,13224,MELODY @ HEMLOCK - E - NS,,32.86848,-96.761073,,,0
13225,13225,MELODY @ EASTRIDGE - E - MB1,,32.867157,-96.759583,,,0
13226,13226,MELODY @ EASTRIDGE - E - MB2,,32.866386,-96.758568,,,1
13227,13227,MELODY @ EASTRIDGE - E - MB3,,32.865558,-96.757485,,,0
13228,13228,MELODY @ EASTRIDGE - E - MB4,,32.864715,-96.755524,,,0
13229,13229,MELODY @ EASTRIDGE - E - MB5,,32.864437,-96.75409,,,0
13230,13230,MELODY @ EASTRIDGE - E - MB6,,32.864181,-96.752724,,,0
13231,13231,MELODY @ EASTRIDGE - E - MB7,,32.863964,-96.751603,,,0
13232,13232,EASTRIDGE @ MELODY - N - FS,,32.864318,-96.749665,,,1
13233,13233,RIDGECREST @ EASTRIDGE - W - FS,,32.866228,-96.750598,,,1
13234,13234,RIDGECREST @ HEMLOCK - W - MB3,,32.867351,-96.755402,,,0
13238,13238,RIDGECREST @ HEMLOCK - W - NS,,32.869884,-96.758638,,,0
13239,13239,RIDGECREST @ PARK - W - NS,,32.870995,-96.759896,,,0
13240,13240,FAIR OAKS @ PHOENIX - N - NS,,32.873798,-96.756913,,,1
13242,13242,ELSIE FAYE HEGGINS@ LELAND - W - NS,,32.751911,-96.758427,,,1
13255,13255,MLK @ EDGEWOOD - N - NS,,32.764885,-96.773217,,,0
13256,13256,MLK @ HARWOOD - S - NS,,32.763595,-96.774964,,,1
13312,13312,OAK LAWN @ LEMMON - S - FS,,32.811588,-96.806165,,,1
13318,13318,MAPLE @ HOOD - S - NS,,32.802716,-96.812747,,,1
13319,13319,MAPLE @ TURTLE CREEK - S - FS,,32.800891,-96.810729,,,1
13324,13324,ERVAY @ ELM - N - MB,,32.781626,-96.797277,,,1
13328,13328,MAPLE @ HOOD - N - FS,,32.802959,-96.812874,,,1
13331,13331,OAK LAWN @ HALL - N - NS,,32.809965,-96.807829,,,0
13332,13332,OAK LAWN @ LEMMON - N - NS,,32.811731,-96.805693,,,0
13347,13347,NORTHWEST @ AMES - E - NS,,32.865467,-96.807618,,,1
13365,13365,MALCOLM X @ MLK - N - NS,,32.76897,-96.768258,,,1
13367,13367,MLK @ MEADOW - N - NS,,32.77209,-96.764939,,,1
13369,13369,ROBERT B CULLUM @ GRAND - N - FS,,32.777889,-96.765404,,,1
13371,13371,PEAK @ MAIN - W - NS,,32.789905,-96.768816,,,0
13372,13372,PEAK @ ELM - W - FS,,32.791244,-96.770395,,,1
13373,13373,PEAK @ VICTOR - W - NS,,32.792131,-96.771419,,,0
13375,13375,PEAK @ GASTON - W - NS,,32.795204,-96.775055,,,1
13377,13377,PEAK @ LIVE OAK - W - NS,,32.79778,-96.777999,,,1
